"name","birth","death","url"
"Mary Ann Evans (George Eliot)","1819-11-22","1880-12-22","https://en.wikipedia.org/wiki/George_Eliot"
"Ann Brontë","1820-01-17","1849-05-28","https://en.wikipedia.org/wiki/Ann_Brontë"
"Jules Verne","1828-02-08","1905-03-24","https://en.wikipedia.org/wiki/Jules_Verne"
"Leo Tolstoy","1828-09-09","1910-11-20","https://en.wikipedia.org/wiki/Leo_Tolstoy"
"Emily Dickinson","1830-12-10","1886-05-15","https://en.wikipedia.org/wiki/Emily_Dickinson"
"Lewis Carroll","1832-01-27","1898-01-14","https://en.wikipedia.org/wiki/Lewis_Carroll"
"Louisa May Alcott","1832-11-29","1888-03-06","https://en.wikipedia.org/wiki/Louisa_May_Alcott"
"Mark Twain","1835-11-30","1910-04-21","https://en.wikipedia.org/wiki/Mark_Twain"
"Thomas Hardy","1840-06-02","1928-01-11","https://en.wikipedia.org/wiki/Thomas_Hardy"
"William Wordsworth","1770-04-07","1850-04-23","https://en.wikipedia.org/wiki/William_Wordsworth"
"Samuel Taylor Coleridge","1772-10-21","1834-07-25","https://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge"
"Charlotte Brontë","1816-04-21","1855-03-31","https://en.wikipedia.org/wiki/Charlotte_Brontë"
"Henry David Thoreau","1817-07-12","1862-05-06","https://en.wikipedia.org/wiki/Henry_David_Thoreau"
"Emily Brontë","1818-07-30","1848-12-19","https://en.wikipedia.org/wiki/Emily_Brontë"
"Herman Melville","1819-08-01","1891-09-28","https://en.wikipedia.org/wiki/Herman_Melville"
"Henry James","1843-04-15","1916-02-28","https://en.wikipedia.org/wiki/Henry_James"
"Oscar Wilde","1854-10-16","1900-11-30","https://en.wikipedia.org/wiki/Oscar_Wilde"
"George Bernard Shaw","1856-07-26","1950-11-02","https://en.wikipedia.org/wiki/George_Bernard_Shaw"
"Joseph Conrad","1857-12-03","1924-08-03","https://en.wikipedia.org/wiki/Joseph_Conrad"
"Kenneth Grahame","1859-03-08","1932-07-06","https://en.wikipedia.org/wiki/Kenneth_Grahame"
"Arthur Conan Doyle","1859-05-22","1930-07-07","https://en.wikipedia.org/wiki/Arthur_Conan_Doyle"
"Edith Wharton","1862-01-24","1937-08-11","https://en.wikipedia.org/wiki/Edith_Wharton"
"W.B. Yeats","1865-06-13","1939-11-25","https://en.wikipedia.org/wiki/W._B._Yeats"
"Rudyard Kipling","1865-12-30","1936-01-18","https://en.wikipedia.org/wiki/Rudyard_Kipling"
"H.G. Wells","1866-09-21","1946-08-13","https://en.wikipedia.org/wiki/H._G._Wells"
"Marcel Proust","1871-07-10","1922-11-18","https://en.wikipedia.org/wiki/Marcel_Proust"
"Bertrand Russell","1872-05-18","1970-02-02","https://en.wikipedia.org/wiki/Bertrand_Russell"
"W. Somerset Maugham","1874-01-25","1965-12-16","https://en.wikipedia.org/wiki/W._Somerset_Maugham"
"Gertrude Stein","1874-02-03","1946-07-27","https://en.wikipedia.org/wiki/Gertrude_Stein"
"Robert Frost","1874-03-26","1963-01-29","https://en.wikipedia.org/wiki/Robert_Frost"
"Upton Sinclair","1878-09-20","1968-11-25","https://en.wikipedia.org/wiki/Upton_Sinclair"
"A. A. Milne","1882-01-18","1956-01-31","https://en.wikipedia.org/wiki/A._A._Milne"
"Virginia Woolfe","1882-01-25","1941-03-28","https://en.wikipedia.org/wiki/Virginia_Woolfe"
"J.R.R. Tolkien","1892-01-03","1973-09-02","https://en.wikipedia.org/wiki/J._R._R._Tolkien"
"Aldous Huxley","1894-07-26","1963-11-22","https://en.wikipedia.org/wiki/Aldous_Huxley"
"E.E. Cummings","1894-10-14","1962-09-03","https://en.wikipedia.org/wiki/E._E._Cummings"
